Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
KAINER ELECTRICAL SERVICES,"KAINER ELECTRICAL SERVICES, INC.",8419 BONDALE ST,HOUSTON,TX,77040,238212,"Construction (General, Civil, Specialty Trades)",Texas Corporation,1999-06-11T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"KAISER PLUMBING - RESIDENTIAL, LLC","KAISER PLUMBING - RESIDENTIAL, LLC",9317 SWEETBRUSH DR,HOUSTON,TX,77064,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Limited Liability Company (LLC),2015-04-06T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"KAISER POWER, LLC","KAISER POWER, LLC",9119 TIMBERSIDE DR,HOUSTON,TX,77025,238210,Electrical Contractors and Other Wiring Installation,Limited Liability Company (LLC),2022-09-07T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"KARSTEN INTERIOR SERVICES, L.P.","KARSTEN INTERIOR SERVICES, L.P.",1711 TOWNHURST DR,HOUSTON,TX,77043,238312,"Construction (General, Civil, Specialty Trades)",Type PL,2010-01-19T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
KAST ELECTRICAL SERVICES,SULAIMON O KAZEEM,6602 HARBOR TOWN DR APT 206,HOUSTON,TX,77036,238210,Electrical Contractors and Other Wiring Installation,Type IS,2024-07-16T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
KAUFFMAN COMPANY,KAUFFMAN COMPANY,13225 FM 529 RD STE A,HOUSTON,TX,77041,238990,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2008-02-13T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
KDC CONSTRUCTION,CIRKS CONSTRUCTION INC.,16055 SPACE CENTER BLVD STE 235,HOUSTON,TX,77062,238390,"Construction (General, Civil, Specialty Trades)",Foreign Corporation (Out-of-State),2010-12-02T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"KELLER INTERIORS, LLC","KELLER INTERIORS, LLC",408 JENSEN DR,HOUSTON,TX,77020,238330,"Construction (General, Civil, Specialty Trades)",Corporation / Corporate Entity,2021-09-16T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
KELLIE RENOVATIONS LTD. CO.,KELLIE RENOVATIONS LTD. CO.,7118 HALFPENNY RD,HOUSTON,TX,77095,238990,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2005-05-19T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
KELSO BUILDING SERVICES LLC,"KELSO BUILDING SERVICES, LLC",8990 KIRBY DR STE 200,HOUSTON,TX,77054,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Corporation / Corporate Entity,2025-11-05T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
KENDZIORA PLUMBING CO INC,"KENDZIORA PLUMBING CO., INC.",7556 WERNER ST,HOUSTON,TX,77037,238222,"Construction (General, Civil, Specialty Trades)",Texas Corporation,1988-01-07T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
